SongName,DurationSeconds,Artist,Genre
MidnightEcho,210,TheNightsky,Indie
SolarFlares,185,NeonPulse,Electronic
CrimsonTide,240,HarborDrive,Rock
EchoesInGlass,198,Glasshouse,Alternative
BlueHorizon,215,SeaStreet,Pop
Frostbite,172,ArcticBloom,Metal
VelvetSunrise,256,AmberLane,Synthwave
PaperPlanets,142,OrbitKids,Indie
NeonNoir,201,PixelHearts,Electronic
LastLantern,300,Moonward,Ambient
QuickSilver,128,VectorRun,EDM
HollowRoad,263,Stonebridge,Country
GoldenAshes,231,FireChild,Folk
StormChaser,279,Windborn,Rock
GlassTrail,194,Cascade,Pop
MidwestSky,220,Riverfont,Blues
VelociDream,156,Hyperloop,Electronic
SilentAlibi,245,ShadowFax,Alternative
IronPetal,210,ForgeSong,Metal
DistantBeacon,187,Lighthouse,Ambient
CobaltWave,203,TideLine,Synthwave
PaperCrowns,169,CityPapers,Indie
CradleOfStars,332,StellarNursery,Classical
RogueHeartbeat,199,UnderCurrent,RnB
AmberRoad,214,NomadTrail,World
PixelatedLove,180,RetroByte,Electronic
RustAndRain,255,OldMill,Folk
NeptunesCall,268,AquaVox,Reggae
Thunderbase,240,Skyforge,Metal
QuietParade,210,EveningBrigade,Alternative
